time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.0193,-0.1384,-0.2886,0.321
0.005000,0.0204,-0.1525,-0.3596,0.391
0.005000,0.0195,-0.1664,-0.4410,0.472
0.007000,0.0312,-0.1467,-0.4642,0.488
0.011000,0.0529,-0.0795,-0.4961,0.505
0.017000,0.1230,-0.0625,-0.5104,0.529
0.022000,0.1673,-0.0716,-0.4266,0.464
0.026000,0.2073,-0.1090,-0.3472,0.419
0.031000,0.2120,-0.1197,-0.2578,0.355
0.037000,0.2076,-0.1398,-0.2103,0.327
0.042000,0.1868,-0.1288,-0.1754,0.287
0.047000,0.1616,-0.1393,-0.1029,0.237
0.051000,0.1006,-0.1521,-0.0687,0.195
0.057000,0.0349,-0.2004,-0.0032,0.203
0.062000,0.0028,-0.1701,0.0363,0.174
0.067000,0.0157,-0.1805,0.0289,0.183
0.072000,0.0135,-0.1648,0.0319,0.168
0.077000,-0.0033,-0.1803,0.0406,0.185
0.082000,-0.0038,-0.1695,0.0571,0.179
0.087000,-0.0283,-0.1684,0.0336,0.174
0.095000,-0.0407,-0.1294,-0.0153,0.137
0.097000,-0.0265,-0.0907,-0.0209,0.097
0.102000,-0.0360,-0.0760,-0.0525,0.099
0.107000,-0.0283,-0.0566,-0.0911,0.111
0.112000,-0.0131,-0.0421,-0.1370,0.144
0.117000,0.0095,-0.0395,-0.1761,0.181
0.123000,-0.0107,-0.0653,-0.2301,0.239
0.127000,-0.0161,-0.0505,-0.2038,0.211
0.134000,0.0193,0.0380,-0.2428,0.247
0.139000,0.0212,0.0854,-0.2612,0.276
0.143000,0.0088,0.1016,-0.2021,0.226
0.147000,-0.0179,0.0512,-0.1039,0.117
0.154000,-0.0448,0.0061,-0.0333,0.056
0.158000,-0.0551,-0.0078,0.0102,0.057
0.163000,-0.0729,0.0068,0.0223,0.077
0.168000,-0.0908,0.0119,0.0794,0.121
0.174000,-0.1138,0.0168,0.1743,0.209
0.178000,-0.1485,0.0027,0.2333,0.277
0.184000,-0.1950,0.0384,0.2596,0.327
0.195000,-0.1960,0.0596,0.2459,0.320
0.195000,-0.2303,0.0639,0.2261,0.329
0.198000,-0.2141,0.0539,0.1931,0.293
0.204000,-0.1383,0.0867,0.1826,0.245
0.209000,-0.0509,0.1073,0.1539,0.194
0.213000,-0.0374,0.1110,0.1498,0.190
0.218000,0.0097,0.1267,0.1558,0.201
0.223000,0.0426,0.1327,0.1099,0.177
0.229000,0.0257,0.1386,0.0693,0.157
0.234000,0.0067,0.1351,0.0435,0.142
0.239000,-0.0193,0.1244,0.0273,0.129
0.244000,-0.0140,0.0901,-0.0149,0.092
0.250000,-0.0541,0.0466,-0.0453,0.085
0.254000,-0.0560,0.0296,-0.0377,0.074
0.260000,-0.0770,0.0080,-0.0043,0.078
0.264000,-0.0958,0.0103,0.0047,0.096
0.269000,-0.1147,0.0363,-0.0128,0.121
0.275000,-0.1193,0.0622,-0.0163,0.136
0.279000,-0.0768,0.0569,0.0017,0.096
0.284000,-0.0419,0.0706,0.0265,0.086
0.290000,0.0116,0.1009,0.0843,0.132
0.295000,0.0623,0.1214,0.1180,0.180
0.299000,0.0915,0.1204,0.1279,0.198
0.307000,0.1179,0.1241,0.1359,0.219
0.310000,0.1111,0.1229,0.1275,0.209
0.314000,0.1115,0.1004,0.1292,0.198
0.320000,0.1169,0.0995,0.1098,0.189
0.324000,0.1276,0.0938,0.0745,0.175
0.330000,0.1717,0.1000,0.0397,0.203
0.334000,0.1849,0.0540,0.0457,0.198
0.340000,0.1794,0.0321,0.0614,0.192
0.345000,0.1314,0.0199,0.0960,0.164
0.350000,0.1266,0.0220,0.0709,0.147
0.355000,0.0865,0.0242,0.0482,0.102
0.360000,0.0634,0.0358,0.0375,0.082
0.365000,0.0478,0.0142,0.0315,0.059
0.370000,0.0754,-0.0167,0.0254,0.081
0.377000,0.1005,-0.0237,0.0002,0.103
0.381000,0.1065,-0.0329,-0.0321,0.116
0.385000,0.0768,-0.0562,-0.0524,0.109
0.390000,0.0520,-0.0818,-0.0490,0.109
0.396000,0.0127,-0.0929,-0.0721,0.118
0.401000,-0.0100,-0.0635,-0.0952,0.115
0.408000,-0.0257,-0.0320,-0.0828,0.092
0.412000,-0.0323,-0.0151,-0.0448,0.057
0.415000,-0.0679,0.0231,-0.0098,0.072
0.421000,-0.0609,0.0182,-0.0345,0.072
0.426000,-0.0401,0.0513,-0.0376,0.075
0.430000,-0.0246,0.0627,0.0021,0.067
0.436000,-0.0188,0.0336,0.0511,0.064
0.441000,0.0082,0.0380,0.0739,0.084
0.445000,0.0186,0.0115,0.0826,0.085
0.452000,0.0291,-0.0006,0.0464,0.055
0.456000,0.0280,-0.0150,0.0349,0.047
0.461000,0.0034,-0.0221,0.0497,0.055
0.467000,0.0006,-0.0339,0.0435,0.055
0.472000,0.0028,-0.0385,0.0327,0.051
0.476000,0.0242,-0.0882,0.0388,0.099
0.482000,0.0289,-0.1066,0.0070,0.111
0.487000,0.0024,-0.1486,-0.0482,0.156
0.494000,-0.0572,-0.1997,-0.0960,0.229
0.496000,-0.0049,-0.1365,-0.0937,0.166
0.502000,0.0992,-0.1022,-0.1651,0.218
0.514000,0.1264,-0.1252,-0.1673,0.244
0.515000,0.0940,-0.1504,-0.1435,0.228
0.517000,0.0403,-0.1564,-0.1559,0.224
0.524000,0.0037,-0.1386,-0.1851,0.231
0.527000,-0.0089,-0.1090,-0.1909,0.220
0.531000,0.0071,-0.1033,-0.1899,0.216
0.536000,0.0066,-0.0597,-0.1749,0.185
0.542000,-0.0127,-0.0401,-0.1272,0.134
0.547000,-0.0433,-0.0254,-0.1108,0.122
0.551000,-0.0498,-0.0108,-0.0759,0.091
0.556000,-0.1106,-0.0106,-0.0793,0.136
0.563000,-0.1398,-0.0150,-0.0426,0.147
0.567000,-0.1425,-0.0337,-0.0037,0.146
0.572000,-0.1402,-0.0474,0.0399,0.153
0.578000,-0.1521,-0.0231,0.0547,0.163
0.582000,-0.1139,-0.0298,0.0269,0.121
0.587000,-0.0664,-0.0412,0.0183,0.080
0.595000,-0.0504,-0.0621,0.0148,0.081
0.598000,-0.0347,-0.0448,0.0448,0.072
0.602000,-0.0790,-0.0325,0.0771,0.115
0.611000,-0.0806,0.0034,0.0477,0.094
0.613000,-0.0918,0.0058,-0.0288,0.096
0.617000,-0.1011,-0.0181,-0.0498,0.114
0.624000,-0.0819,-0.0251,-0.0587,0.104
0.628000,-0.0654,-0.0368,-0.0273,0.080
0.633000,-0.0277,-0.0247,-0.0415,0.056
0.637000,0.0075,0.0064,-0.0654,0.066
0.643000,0.0260,0.0325,-0.0657,0.078
0.649000,0.0208,0.0180,-0.0589,0.065
0.653000,-0.0267,0.0251,-0.0122,0.039
0.658000,-0.0213,0.0369,0.0032,0.043
0.663000,-0.0343,0.0201,0.0207,0.045
0.668000,-0.0375,0.0036,0.0380,0.054
0.674000,-0.0380,-0.0271,0.0363,0.059
0.678000,-0.0766,-0.0456,0.0323,0.095
0.683000,-0.0673,-0.0450,0.0335,0.088
0.692000,-0.0513,-0.0730,0.0372,0.097
0.694000,-0.0547,-0.0675,0.0554,0.103
0.699000,-0.0490,-0.0408,0.0286,0.070
0.704000,-0.0677,-0.0357,0.0163,0.078
0.716000,-0.0438,-0.0093,0.0020,0.045
0.718000,-0.0181,0.0026,-0.0122,0.022
0.720000,-0.0168,0.0357,-0.0384,0.055
0.746000,-0.0180,0.0685,-0.0265,0.076
0.747000,-0.0077,0.0655,-0.0197,0.069
0.748000,0.0144,0.0815,-0.0059,0.083
0.748000,0.0292,0.1021,0.0169,0.108
0.748000,0.0298,0.0989,0.0511,0.115
0.749000,0.0139,0.0814,0.0733,0.110
0.753000,0.0389,0.1068,0.0903,0.145
0.761000,0.0237,0.1250,0.1241,0.178
0.764000,0.0470,0.1454,0.1649,0.225
0.770000,0.0324,0.1489,0.1798,0.236
0.774000,0.0065,0.1644,0.1569,0.227
0.779000,-0.0404,0.1297,0.1516,0.204
0.784000,-0.0747,0.0859,0.1208,0.166
0.796000,-0.0991,0.0519,0.1027,0.152
0.797000,-0.0970,0.0110,0.0781,0.125
0.799000,-0.0830,-0.0438,0.0234,0.097
0.805000,-0.0715,-0.0650,-0.0234,0.099
0.818000,-0.0698,-0.0931,-0.0866,0.145
0.819000,-0.0944,-0.1471,-0.1493,0.230
0.820000,-0.1311,-0.1603,-0.1999,0.288
0.828000,-0.1393,-0.1804,-0.2438,0.334
0.831000,-0.1291,-0.1957,-0.2667,0.355
0.834000,-0.1503,-0.1823,-0.2763,0.364
0.840000,-0.1316,-0.1523,-0.2677,0.335
0.845000,-0.1111,-0.1297,-0.2341,0.290
0.850000,-0.0673,-0.0882,-0.2017,0.230
0.854000,-0.0122,-0.0471,-0.1536,0.161
0.861000,0.0447,-0.0110,-0.0805,0.093
0.865000,0.0868,0.0320,-0.0176,0.094
0.870000,0.0905,0.0793,0.0541,0.132
0.875000,0.0874,0.0812,0.0993,0.155
0.881000,0.0918,0.1044,0.1282,0.189
0.885000,0.0895,0.0989,0.1695,0.216
0.898000,0.0688,0.1171,0.2254,0.263
0.900000,0.0703,0.1305,0.2295,0.273
0.901000,0.0603,0.1199,0.2366,0.272
0.905000,0.0557,0.1142,0.1994,0.236
0.927000,0.0584,0.1251,0.1821,0.229
0.928000,0.0378,0.1098,0.1464,0.187
0.929000,0.0387,0.0993,0.1206,0.161
0.929000,0.0514,0.1127,0.0905,0.153
0.931000,0.0140,0.1164,0.1012,0.155
0.935000,-0.0137,0.1201,0.1094,0.163
0.942000,-0.0559,0.1119,0.1126,0.168
0.946000,-0.0625,0.1014,0.1037,0.158
0.951000,-0.0314,0.0861,0.0852,0.125
0.958000,-0.0106,0.0520,0.0859,0.101
0.961000,0.0168,0.0371,0.0676,0.079
0.966000,0.0413,0.0318,0.0326,0.062
0.971000,0.0415,0.0123,0.0121,0.045
0.976000,0.0605,0.0001,0.0082,0.061
0.981000,0.0532,0.0212,-0.0123,0.059
0.986000,0.0533,0.0280,-0.0186,0.063
0.997000,0.0515,0.0537,-0.0177,0.077
0.998000,0.0551,0.0460,-0.0194,0.074
1.004000,0.0737,0.0290,-0.0165,0.081
1.020000,0.0645,0.0312,-0.0088,0.072
1.024000,0.0776,0.0191,-0.0154,0.081
1.024000,0.0888,0.0334,-0.0220,0.097
1.025000,0.0817,0.0143,-0.0213,0.086
1.030000,0.0677,0.0049,0.0198,0.071
1.031000,0.0065,0.0075,0.0419,0.043
1.036000,-0.0167,-0.0019,0.0426,0.046
1.042000,-0.0380,-0.0327,0.0315,0.059
1.047000,-0.0599,-0.0704,0.0209,0.095
1.051000,-0.0874,-0.0936,0.0177,0.129
1.058000,-0.0919,-0.0907,0.0406,0.135
1.062000,-0.0688,-0.0925,0.0183,0.117
1.067000,-0.0634,-0.0802,-0.0012,0.102
1.072000,-0.0443,-0.0515,-0.0088,0.068
1.077000,0.0029,-0.0585,-0.0188,0.062
1.082000,0.0568,-0.0228,-0.0357,0.071
1.087000,0.0988,-0.0301,-0.0481,0.114
1.097000,0.1436,-0.0396,-0.0366,0.153
1.099000,0.1629,-0.0134,-0.0372,0.168
1.118000,0.1783,-0.0157,-0.0380,0.183
1.120000,0.1496,-0.0061,-0.0483,0.157
1.121000,0.1242,-0.0273,-0.0659,0.143
1.121000,0.0853,-0.0222,-0.0908,0.126
1.125000,0.0280,-0.0527,-0.1087,0.124
1.127000,0.0376,-0.0710,-0.1478,0.168
1.132000,0.0279,-0.0988,-0.1535,0.185
1.137000,-0.0226,-0.1310,-0.1405,0.193
1.143000,-0.0425,-0.1417,-0.1466,0.208
1.148000,-0.0915,-0.1428,-0.1409,0.220
1.153000,-0.1220,-0.1226,-0.1304,0.217
1.157000,-0.1532,-0.1122,-0.1082,0.219
1.163000,-0.1659,-0.0948,-0.0791,0.207
1.168000,-0.1863,-0.0633,-0.0645,0.207
1.175000,-0.1642,-0.0583,-0.0286,0.177
1.178000,-0.1448,-0.0699,-0.0239,0.163
1.183000,-0.1159,-0.0364,-0.0002,0.121
1.188000,-0.1083,-0.0173,0.0351,0.115
1.193000,-0.0910,0.0112,0.0609,0.110
1.198000,-0.0802,0.0085,0.0865,0.118
1.203000,-0.0497,0.0440,0.0881,0.110
1.215000,-0.0214,0.0602,0.0757,0.099
1.216000,0.0167,0.0644,0.0993,0.120
1.218000,0.0573,0.0544,0.1109,0.136
1.233000,0.0836,0.0658,0.0678,0.126
1.234000,0.1476,0.0700,0.0563,0.173
1.235000,0.1704,0.0456,0.0450,0.182
1.238000,0.1806,0.0142,0.0480,0.187
1.244000,0.1595,0.0164,0.0274,0.163
1.251000,0.1145,0.0089,0.0142,0.116
1.254000,0.0530,-0.0151,-0.0176,0.058
1.259000,0.0157,-0.0389,-0.0324,0.053
1.264000,-0.0404,-0.0745,-0.0090,0.085
1.272000,-0.0484,-0.0670,-0.0097,0.083
1.276000,-0.0299,-0.0690,-0.0268,0.080
1.280000,-0.0443,-0.0472,-0.0559,0.086
1.284000,-0.0463,-0.0255,-0.0850,0.100
1.291000,-0.0075,-0.0325,-0.0856,0.092
1.295000,0.0004,-0.0274,-0.0771,0.082
1.300000,-0.0155,-0.0201,-0.0761,0.080
1.304000,-0.0336,-0.0198,-0.0874,0.096
1.312000,-0.0636,-0.0101,-0.0798,0.103
1.319000,-0.0817,-0.0123,-0.0464,0.095
1.319000,-0.0903,-0.0145,-0.0397,0.100
1.328000,-0.0969,-0.0238,-0.0427,0.109
1.330000,-0.1111,-0.0260,-0.0147,0.115
1.334000,-0.1091,-0.0258,-0.0132,0.113
1.339000,-0.1457,-0.0304,0.0048,0.149
1.345000,-0.1323,0.0006,-0.0081,0.133
1.352000,-0.1453,0.0124,-0.0114,0.146
1.355000,-0.1440,0.0335,-0.0146,0.149
1.360000,-0.1331,0.0118,0.0012,0.134
1.365000,-0.1385,0.0021,0.0338,0.143
1.371000,-0.1433,0.0257,0.0164,0.147
1.377000,-0.1311,0.0184,-0.0009,0.132
1.380000,-0.0804,0.0538,-0.0108,0.097
1.385000,-0.0438,0.0558,-0.0157,0.073
1.394000,0.0093,0.0412,-0.0061,0.043
1.396000,0.0503,0.0243,0.0126,0.057
1.402000,0.0840,0.0194,0.0456,0.097
1.406000,0.1100,0.0359,0.0521,0.127
1.419000,0.0951,0.0285,0.0445,0.109
1.421000,0.0561,0.0330,0.0584,0.087
1.421000,-0.0161,0.0541,0.0700,0.090
1.443000,-0.0833,0.0511,0.0675,0.119
1.444000,-0.1194,0.0696,0.0769,0.158
1.445000,-0.1150,0.0926,0.0771,0.167
1.445000,-0.1012,0.1058,0.0822,0.168
